date,latitude,longitude,fire_occurred,brightness,confidence
2018-01-01,29.44861264507054,79.53164871020242,0,364.4782203260854,71.61984425887857
2018-01-02,29.358693916911506,79.58848893137106,0,327.4931549088876,69.22464715764349
2018-01-03,29.54558904575336,79.54147782495777,0,313.1673744434298,80.8377055689099
2018-01-04,29.508722601299905,79.44070116128445,0,374.21562987731056,59.99115126677159
2018-01-05,29.414147711679462,79.43694995759533,0,356.74965275967827,51.29102763223584
2018-01-06,29.39724257896972,79.55987765237417,0,393.09846230089636,79.95301155830953
2018-01-07,29.431785250526442,79.53363396429084,0,334.64902477263365,52.39525191725144
2018-01-08,29.37984119237685,79.51458783798404,0,329.52949211641925,83.52109585764262
2018-01-09,29.575812841611764,79.55027588862957,0,301.31860628410635,97.09698921309018
2018-01-10,29.547962496067402,79.5762895845411,0,397.8125476098198,50.416344534212456
2018-01-11,29.517238488993844,79.39336327620423,0,318.43698327237314,88.69523295966314
2018-01-12,29.584604108526175,79.64458096838669,0,320.3615404763961,87.86557974969145
2018-01-13,29.453737861280572,79.44291805530904,0,307.360163129576,77.5798378677617
2018-01-14,29.404282012585785,79.54870680459437,0,393.95582966394284,79.14300826765927
2018-01-15,29.532304050938812,79.54409908347507,0,306.59283343622025,96.53564262564754
2018-01-16,29.539546477512197,79.45874672844499,0,327.3516227047992,80.58578993058401
2018-01-17,29.474381892323677,79.49080526529369,0,323.81061176365876,85.09719297249856
2018-01-18,29.494834261535093,79.4985515174162,0,331.97416045507885,82.4067392659974
2018-01-19,29.58544544932192,79.57121126302184,0,325.90697917084003,72.91300844098313
2018-01-20,29.398848947848364,79.56361004436108,0,307.5108168616871,81.48223455511885
2018-01-21,29.48711191019345,79.43418010279098,1,368.91173152454905,90.54228791884701
2018-01-22,29.57314802399759,79.63277765988035,0,324.60016964466405,87.73817565677075
2018-01-23,29.562380738497275,79.59291853578905,0,347.3483825414188,70.86770226428729
2018-01-24,29.40561368923806,79.55797643047269,0,372.1071504449835,65.21931392745768
2018-01-25,29.439508055888663,79.57307668194436,0,358.8809574126164,98.2108339958034
2018-01-26,29.491445900891126,79.46688499404023,0,395.21800491077784,91.10924493276089
2018-01-27,29.370693770604603,79.52082342815548,0,361.94056432818996,98.69564188263794
2018-01-28,29.446871655259766,79.56150365321122,0,389.9420549958875,98.25236970113446
